"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2020-11-Áß","±ñ¸¶´Ã(¼öÀÔ)","7370","15477000","19440","-62.1","33052000","-53.2","23331","-68.4","54193534","-71.4"
"2020-11-»ó","±ñ¸¶´Ã(¼öÀÔ)","6100","12810000","16290","-62.6","27885000","-54.1","23796","-74.4","60077067","-78.7"
"2020-10-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","20320","42672000","21060","-3.5","37068000","15.1","24241","-16.2","54154032","-21.2"
"2020-10-Áß","±ñ¸¶´Ã(¼öÀÔ)","5330","10593000","16060","-66.8","29184000","-63.7","20446","-73.9","43555300","-75.7"
"2020-10-»ó","±ñ¸¶´Ã(¼öÀÔ)","2150","4115000","18030","-88.1","32454000","-87.3","20548","-89.5","41745000","-90.1"
"2020-09-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","4650","8965000","17510","-73.4","31524000","-71.6","20752","-77.6","41408200","-78.3"
"2020-09-Áß","±ñ¸¶´Ã(¼öÀÔ)","4250","8100000","11980","-64.5","21564000","-62.4","21290","-80.0","39089750","-79.3"
"2020-09-»ó","±ñ¸¶´Ã(¼öÀÔ)","5050","9625000","17020","-70.3","30636000","-68.6","18763","-73.1","38092000","-74.7"
"2020-08-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","5700","10630000","19980","-71.5","35964000","-70.4","19140","-70.2","40318800","-73.6"
"2020-08-Áß","±ñ¸¶´Ã(¼öÀÔ)","6670","11567000","15800","-57.8","28440000","-59.3","17377","-61.6","37432000","-69.1"
"2020-08-»ó","±ñ¸¶´Ã(¼öÀÔ)","2650","4572000","15450","-82.8","27810000","-83.6","16470","-83.9","35507083","-87.1"
"2020-07-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","6850","11835000","17700","-61.3","31860000","-62.9","19550","-65.0","43819484","-73.0"
"2020-07-Áß","±ñ¸¶´Ã(¼öÀÔ)","4480","7718000","17450","-74.3","31410000","-75.4","20833","-78.5","39442966","-80.4"
"2020-07-»ó","±ñ¸¶´Ã(¼öÀÔ)","4760","8118000","18500","-74.3","33300000","-75.6","27007","-82.4","70125679","-88.4"
"2020-06-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","13460","23081000","17150","-21.5","30870000","-25.2","29585","-54.5","80114176","-71.2"
"2020-06-Áß","±ñ¸¶´Ã(¼öÀÔ)","5060","8659000","19250","-73.7","34650000","-75.0","28201","-82.1","67771899","-87.2"
"2020-06-»ó","±ñ¸¶´Ã(¼öÀÔ)","6040","10425000","17450","-65.4","31410000","-66.8","26074","-76.8","60486466","-82.8"
"2020-05-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","6640","11405000","21300","-68.8","38340000","-70.3","28353","-76.6","72407500","-84.2"
"2020-05-Áß","±ñ¸¶´Ã(¼öÀÔ)","6250","10812000","17400","-64.1","31320000","-65.5","25300","-75.3","67605900","-84.0"
"2020-05-»ó","±ñ¸¶´Ã(¼öÀÔ)","4710","8080000","19250","-75.5","34650000","-76.7","25454","-81.5","71407718","-88.7"
"2020-04-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","6790","11623000","17450","-61.1","31410000","-63.0","25008","-72.8","66780166","-82.6"
"2020-04-Áß","±ñ¸¶´Ã(¼öÀÔ)","5380","9288000","19300","-72.1","34740000","-73.3","23970","-77.6","67733834","-86.3"
"2020-04-»ó","±ñ¸¶´Ã(¼öÀÔ)","7940","13613000","19600","-59.5","32680000","-58.3","23347","-66.0","62981166","-78.4"
"2020-03-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","19150","32768000","24650","-22.3","39440000","-16.9","24198","-20.9","50413667","-35.0"
"2020-03-Áß","±ñ¸¶´Ã(¼öÀÔ)","18070","30818000","24900","-27.4","39840000","-22.6","25467","-29.0","64639868","-52.3"
"2020-03-»ó","±ñ¸¶´Ã(¼öÀÔ)","17060","29191000","21900","-22.1","33960000","-14.0","26162","-34.8","69327200","-57.9"
"2020-02-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","16100","27460000","22000","-26.8","30800000","-10.8","24896","-35.3","66931748","-59.0"
"2020-02-Áß","±ñ¸¶´Ã(¼öÀÔ)","17900","30512000","25000","-28.4","35000000","-12.8","26368","-32.1","67650431","-54.9"
"2020-02-»ó","±ñ¸¶´Ã(¼öÀÔ)","17130","29317000","15650","9.5","21550000","36.0","25426","-32.6","59330366","-50.6"
"2020-01-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","16050","27371000","27800","-42.3","38920000","-29.7","27268","-41.1","70742520","-61.3"
"2020-01-Áß","±ñ¸¶´Ã(¼öÀÔ)","17320","29658000","21900","-20.9","35040000","-15.4","25451","-31.9","68221582","-56.5"
"2020-01-»ó","±ñ¸¶´Ã(¼öÀÔ)","15990","27471000","19300","-17.2","30880000","-11.0","23088","-30.7","56465059","-51.3"
"2019-12-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","17600","29970000","16580","6.2","39968000","-25.0","15577","13.0","56926596","-47.4"
"2019-12-Áß","±ñ¸¶´Ã(¼öÀÔ)","18010","30708000",,"0.0","39520000","-22.3",,"0.0","47962199","-36.0"
"2019-12-»ó","±ñ¸¶´Ã(¼öÀÔ)","17020","29099000",,"0.0","39340000","-26.0",,"0.0","50122500","-41.9"
"2019-11-ÇÏ","±ñ¸¶´Ã(¼öÀÔ)","18160","30876000","24700","-26.5","39520000","-21.9","21731","-16.4","50408834","-38.7"
