"∞≈∑°¿œ¿⁄","«∞∏Ò∏Ì","π›¿‘∑Æ","±›æ◊","¿¸≥‚ π›¿‘∑Æ","¿¸≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","¿¸≥‚ ±›æ◊","¿¸≥‚ ±›æ◊ ¡ı∞®∑¸(%)","∆Ú≥‚ π›¿‘∑Æ","∆Ú≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","∆Ú≥‚ ±›æ◊","∆Ú≥‚ ±›æ◊ ¡ı∞®∑¸(%)"
"2021-04-¡ﬂ","Ω”πË√ﬂ","723052","1293585000","571397","26.5","1355834100","-4.6","829668","-12.9","1373181048","-5.8"
"2021-04-ªÛ","Ω”πË√ﬂ","813043","1310736500","629087","29.2","1526322100","-14.1","819611","-0.8","1437344364","-8.8"
"2021-03-«œ","Ω”πË√ﬂ","878846","1662107300","552910","58.9","1585263900","4.8","853490","3.0","1686973676","-1.5"
"2021-03-¡ﬂ","Ω”πË√ﬂ","841604","1354887300","471911","78.3","1698615600","-20.2","781658","7.7","1358571032","-0.3"
"2021-03-ªÛ","Ω”πË√ﬂ","1048318","1198811500","488263","114.7","1254580500","-4.4","859163","22.0","1366783785","-12.3"
"2021-02-«œ","Ω”πË√ﬂ","760996","820990900","562398","35.3","1265023300","-35.1","645756","17.8","899190151","-8.7"
"2021-02-¡ﬂ","Ω”πË√ﬂ","591080","647095800","741682","-20.3","1573223800","-58.9","914470","-35.4","1354462184","-52.2"
"2021-02-ªÛ","Ω”πË√ﬂ","1534242","1861952400","692518","121.5","1177935700","58.1","1027724","49.3","1623644620","14.7"
"2021-01-«œ","Ω”πË√ﬂ","1048914","1188274600","893021","17.5","1361165200","-12.7","1095841","-4.3","1531796628","-22.4"
"2021-01-¡ﬂ","Ω”πË√ﬂ","1082388","1496908800","1111266","-2.6","1989473300","-24.8","1071326","1.0","1301886413","15.0"
"2021-01-ªÛ","Ω”πË√ﬂ","562635","690955600","792423","-29.0","1588493500","-56.5","1134316","-50.4","1517196516","-54.5"
"2020-12-«œ","Ω”πË√ﬂ","1148722","1307152100","892966","28.6","1551405300","-15.7","1114193","3.1","1535013096","-14.8"
"2020-12-¡ﬂ","Ω”πË√ﬂ","738575","727639100","912755","-19.1","1395710500","-47.9","888158","-16.8","1194493884","-39.1"
"2020-12-ªÛ","Ω”πË√ﬂ","933815","961460600","650949","43.5","1181409200","-18.6","969402","-3.7","1079818592","-11.0"
"2020-11-«œ","Ω”πË√ﬂ","902399","897628700","912347","-1.1","1237185000","-27.4","953377","-5.3","1161163492","-22.7"
"2020-11-¡ﬂ","Ω”πË√ﬂ","1087303","1074790200","928885","17.1","1438009400","-25.3","1057533","2.8","1237544266","-13.2"
"2020-11-ªÛ","Ω”πË√ﬂ","992287","1178381500","822840","20.6","1431656500","-17.7","1158111","-14.3","1403733723","-16.1"
"2020-10-«œ","Ω”πË√ﬂ","1173339","1571316200","1013539","15.8","1991041100","-21.1","1164416","0.8","1481514923","6.1"
"2020-10-¡ﬂ","Ω”πË√ﬂ","1028269","1653703800","713105","44.2","1653484000","0.0","1072678","-4.1","1480914474","11.7"
"2020-10-ªÛ","Ω”πË√ﬂ","615281","1425018000","799133","-23.0","1956902300","-27.2","931320","-33.9","1719549436","-17.1"
"2020-09-«œ","Ω”πË√ﬂ","885656","3622582300","652037","35.8","1624819100","123.0","1067928","-17.1","1964343529","84.4"
"2020-09-¡ﬂ","Ω”πË√ﬂ","433444","2071792000","796036","-45.5","1471464600","40.8","1026957","-57.8","2139804984","-3.2"
"2020-09-ªÛ","Ω”πË√ﬂ","403344","1793658000","1097288","-63.2","2396303200","-25.1","846336","-52.3","2184437818","-17.9"
"2020-08-«œ","Ω”πË√ﬂ","604883","2178083100","987447","-38.7","1569465800","38.8","688993","-12.2","1849363374","17.8"
"2020-08-¡ﬂ","Ω”πË√ﬂ","842045","2427878300","849590","-0.9","1242960300","95.3","643338","30.9","1658192278","46.4"
"2020-08-ªÛ","Ω”πË√ﬂ","784945","1655134600","868193","-9.6","1349031500","22.7","716308","9.6","1645582518","0.6"
"2020-07-«œ","Ω”πË√ﬂ","978407","1803856900","883050","10.8","863006100","109.0","866133","13.0","1447731962","24.6"
"2020-07-¡ﬂ","Ω”πË√ﬂ","796373","1362276400","872459","-8.7","968130400","40.7","831496","-4.2","1333359516","2.2"
"2020-07-ªÛ","Ω”πË√ﬂ","975548","1363377600","843537","15.6","1153974100","18.1","848708","14.9","1151317275","18.4"
"2020-06-«œ","Ω”πË√ﬂ","838181","1507575500","587101","42.8","982493100","53.4","930990","-10.0","1182929126","27.4"
"2020-06-¡ﬂ","Ω”πË√ﬂ","943780","1081151400","760848","24.0","977445800","10.6","905318","4.2","1074659398","0.6"
"2020-06-ªÛ","Ω”πË√ﬂ","1048081","1171718500","702207","49.3","978611000","19.7","917840","14.2","1088402674","7.7"
"2020-05-«œ","Ω”πË√ﬂ","861956","1610033900","924996","-6.8","891413100","80.6","993560","-13.2","1287783543","25.0"
"2020-05-¡ﬂ","Ω”πË√ﬂ","835762","1533057100","835766","0.0","609074800","151.7","951147","-12.1","1143263341","34.1"
"2020-05-ªÛ","Ω”πË√ﬂ","706855","1578256900","868028","-18.6","856911300","84.2","918874","-23.1","1159767357","36.1"
"2020-04-«œ","Ω”πË√ﬂ","836032","1364828000","840322","-0.5","575701800","137.1","953510","-12.3","1170727925","16.6"
